bus,fueltype,c2,c1,c0,pmax,ess,canidate,gen_id
438,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,137
1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,138
432,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,139
469,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,140
466,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,141
108,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,142
402,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,143
145,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,144
79,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,145
486,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,146
53,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,147
92,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,148
45,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,149
366,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,150
472,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,151
94,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,152
74,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,153
470,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,154
450,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,155
415,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,156
27,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,157
44,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,158
429,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,159
25,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,160
475,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,161
460,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,162
35,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,163
281,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,164
355,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,165
478,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,166
55,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,167
